,popularity,acousticness,danceability,energy,liveness,loudness,tempo,name,clusters
267,30,0.226,0.787,0.681,0.431,-7.713,118.012,Tar en for laget,7
268,24,0.0282,0.707,0.613,0.0714,-13.899,95.927,Hymn Of The Big Wheel - Nellee Hooper Mix,39
269,40,0.221,0.879,0.718,0.0857,-5.373,142.862,Mummy's Kitchen,18
270,67,0.0274,0.427,0.626,0.106,-11.821,126.877,Pride and Joy,81
271,63,0.806,0.653,0.239,0.132,-18.54,80.392,Going Up The Country,95
272,56,0.177,0.783,0.573,0.043,-8.521,122.744,"Let's Hear It for the Boy - From ""Footloose"" Soundtrack",16
273,62,0.143,0.677,0.703,0.514,-9.344,99.419,I Love to Love,7
274,43,0.0438,0.682,0.759,0.367,-6.225,155.993,When The Tequila Runs Out,0
275,45,0.00884,0.38,0.722,0.221,-5.766,130.009,One Last Breath,28
276,41,0.13,0.545,0.653,0.0706,-6.537,87.879,XXX 88 (feat. Diplo),28
277,0,0.00589,0.54,0.929,0.424,-2.646,176.023,Crazy,78
278,76,0.259,0.707,0.629,0.138,-4.581,122.863,Symphony (feat. Zara Larsson),76
279,66,0.0844,0.671,0.714,0.0568,-5.373,105.137,make up,96
280,57,0.504,0.639,0.37,0.117,-10.883,80.152,Wandering Star,97
281,0,0.169,0.892,0.628,0.102,-3.832,92.063,Drop It Like It's Hot,4
282,0,1.12e-05,0.809,0.342,0.073,-8.988,126.999,All I Need - Mr wox & Leano Remix,4
283,79,0.00465,0.562,0.689,0.0888,-6.745,172.054,Getaway Car,47
284,9,0.571,0.169,0.725,0.123,-5.361,118.477,The First Time Ever I Saw Your Face (feat. Erykah Badu),8
285,0,0.0414,0.665,0.651,0.0896,-5.515,163.935,Lean Wit Me,84
286,0,0.28,0.551,0.574,0.134,-8.676,120.946,Ends of the Earth,12
287,0,0.000592,0.561,0.84,0.348,-7.01,122.719,Rain,44
288,58,0.72,0.527,0.209,0.116,-12.113,62.663,The Messenger,97
289,57,0.883,0.502,0.156,0.0864,-9.155,164.191,Beautiful Thing,67
290,0,0.385,0.649,0.535,0.12,-12.017,84.466,Lucy,10
291,0,0.00235,0.634,0.789,0.711,-5.168,149.877,Playamade,86
292,64,0.0838,0.476,0.556,0.125,-10.586,103.122,N.I.B.,81
293,0,0.814,0.296,0.331,0.0939,-12.761,93.874,Big Eyes,45
294,40,0.0596,0.67,0.885,0.056,-5.076,122.021,The Wave,76
295,0,0.175,0.672,0.655,0.168,-3.171,169.857,Slow Motion,84
296,55,0.0569,0.488,0.713,0.305,-6.148,167.973,Baby Be My Love Song,5
